observer,vial,num_offspring,0000,1111,1000,0100,0010,0001,1100,1110,1010,1001,0011,0111,0110,0101,1011,1101,vial_num,vial_letter
9,8,20,2,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,A
1,10,54,8,8,0,0,1,1,2,1,0,0,0,0,0,0,0,0,10,A
9,33,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,A
6,124,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,A
6,131,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,A
7,150,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,A
6,163,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,A
6,173,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,A
9,180,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,A
7,181,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,A
7,181,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,A
9,182,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,A
6,183,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,A
6,189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,A
9,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,A
6,207,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,A
6,208,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,A
6,211,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,A
6,212,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,A
6,100B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,B
7,100C,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,C
7,100C,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,C
6,100D,18,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,D
6,101B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,B
6,101C,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,C
7,101D,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,D
7,101D,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,D
6,102C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,C
3,104C,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,C
7,104C,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,C
7,104C,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,C
6,104D,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,D
6,104D,26,5,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,104,D
