"","contrast","PaternalStock","estimate","SE","df","z.ratio","p.value"
"1","1x - 0.5x","42",-0.0036875435629101,0.178031569918751,Inf,-0.0207128632556181,0.999094794944061
"2","2x - 0.5x","42",0.588661173047083,0.180109847727326,Inf,3.26834529302516,0.00213605115285875
"3","1x - 0.5x","217",0.0402368339588184,0.121368865924646,Inf,0.331525170415616,0.909336653384958
"4","2x - 0.5x","217",0.0258171599177717,0.127352548138024,Inf,0.20272197372754,0.960266143744504
