"Treatment","PaternalStock","recomb_rate","ycv_rr","cvv_rr","vf_rr","treat"
"0.5x","42",0.709668058575751,0.183370107061214,0.253634375734795,0.272663575779742,0.5
"1x","42",0.723021788235195,0.201869097902034,0.242123118034972,0.279029572298189,1
"2x","42",0.638907375433139,0.163667883339713,0.235458237126064,0.239781254967362,2
"0.5x","217",0.703080831024117,0.173473578181787,0.244107197100543,0.285500055741787,0.5
"1x","217",0.641571619315835,0.158108497020903,0.214725766240767,0.268737356054164,1
"2x","217",0.640541965360918,0.153642397312667,0.219389333139729,0.267510234908523,2
