"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,23,73.485916346702,NA,NA
"Treatment",2,3.37497221032169,21,70.1109441363803,0.550243757714851,0.586208992328207
"PaternalStock",1,1.42385946858329,20,68.687084667797,0.464282213675746,0.504302373509425
"Treatment:PaternalStock",2,8.28013387737836,18,60.4069507904186,1.34996429456124,0.284271238030771
