MaternalVial,vial_letter,PaternalStock,Treatment,fecundity.sum,num_offspring.sum,num_moms.sum,fecundity
27,B,42,0.5x,3.14285714285714,22,13,1.69230769230769
27,C,42,0.5x,0,0,13,0
27,D,42,0.5x,0,0,13,0
28,A,42,1x,0,0,24,0
28,B,42,1x,0,0,18,0
28,C,42,1x,0,0,24,0
28,D,42,1x,0,0,24,0
29,A,217,0.5x,11.25,90,8,11.25
29,B,217,0.5x,15.75,126,8,15.75
29,C,217,0.5x,7.75,62,8,7.75
29,D,217,0.5x,39.125,313,8,39.125
30,A,217,1x,101.791666666667,635,26,24.4230769230769
30,B,217,1x,93.2083333333333,620,26,23.8461538461538
30,C,217,1x,84.2083333333333,561,26,21.5769230769231
30,D,217,1x,116.208333333333,755,26,29.0384615384615
31,A,42,1x,7.5,45,14,3.21428571428571
31,B,42,1x,18.6666666666667,112,14,8
31,C,42,1x,2.66666666666667,16,14,1.14285714285714
31,D,42,1x,18.8333333333333,113,14,8.07142857142857
32,A,42,0.5x,31.7916666666667,213,14,15.2142857142857
32,B,42,0.5x,31.6666666666667,216,14,15.4285714285714
32,C,42,0.5x,56.0416666666667,397,14,28.3571428571429
32,D,42,0.5x,53,340,14,24.2857142857143
33,A,42,0.5x,6,42,27,1.55555555555556
33,B,42,0.5x,0,0,27,0
33,C,42,0.5x,0,0,27,0
33,D,42,0.5x,0,0,27,0
34,A,42,2x,26.5,159,19,8.36842105263158
34,B,42,2x,12.8333333333333,77,6,12.8333333333333
34,C,42,2x,26.5,159,19,8.36842105263158
34,D,42,2x,24.1666666666667,145,19,7.63157894736842
35,A,42,0.5x,15,90,19,4.73684210526316
35,B,42,0.5x,12.3333333333333,74,13,5.69230769230769
35,C,42,0.5x,29.3333333333333,176,19,9.26315789473684
35,D,42,0.5x,11.5,69,19,3.63157894736842
36,A,217,2x,95.3904761904762,821,36,22.8055555555556
36,B,217,2x,86.1111111111111,742,36,20.6111111111111
36,C,217,2x,69.3063492063492,622,36,17.2777777777778
36,D,217,2x,86.6079365079365,782,36,21.7222222222222
37,A,217,0.5x,111.928571428571,806,29,27.7931034482759
37,B,217,0.5x,91.1904761904762,668,29,23.0344827586207
37,C,217,0.5x,63.4821428571429,452,29,15.5862068965517
37,D,217,0.5x,102.755952380952,777,29,26.7931034482759
38,A,42,0.5x,55.0238095238095,392,22,17.8181818181818
38,B,42,0.5x,21.5793650793651,164,22,7.45454545454545
38,C,42,0.5x,45.3095238095238,310,22,14.0909090909091
38,D,42,0.5x,17.5793650793651,126,22,5.72727272727273
39,A,42,1x,59.1297619047619,428,31,13.8064516129032
39,B,42,1x,61.2190476190476,475,31,15.3225806451613
39,C,42,1x,78.4107142857143,613,31,19.7741935483871
39,D,42,1x,44.9202380952381,340,31,10.9677419354839
40,A,217,2x,113.130952380952,770,27,28.5185185185185
40,B,217,2x,80.2023809523809,523,27,19.3703703703704
40,C,217,2x,80.3809523809524,515,27,19.0740740740741
40,D,217,2x,118.244047619048,806,27,29.8518518518519
41,A,217,1x,107.005952380952,676,27,25.037037037037
41,B,217,1x,61.25,410,20,20.5
41,C,217,1x,102.142857142857,659,27,24.4074074074074
41,D,217,1x,92.7738095238095,633,27,23.4444444444444
42,A,217,0.5x,38.125,268,14,19.1428571428571
42,B,217,0.5x,45.5416666666667,307,14,21.9285714285714
42,C,217,0.5x,38.875,272,14,19.4285714285714
42,D,217,0.5x,38.9583333333333,262,14,18.7142857142857
43,A,42,1x,68.0396825396825,592,45,13.1555555555556
43,B,42,1x,48.5920634920635,424,45,9.42222222222222
43,C,42,1x,42.4047619047619,402,45,8.93333333333333
43,D,42,1x,93.9746031746032,813,45,18.0666666666667
44,A,217,1x,95.6777777777778,768,25,30.72
44,B,217,1x,73.1333333333333,574,25,22.96
44,C,217,1x,76.7222222222222,620,25,24.8
44,D,217,1x,56.6,466,25,18.64
45,A,217,0.5x,39.9047619047619,300,16,18.75
45,B,217,0.5x,40.7460317460317,329,16,20.5625
45,C,217,0.5x,28.4126984126984,218,16,13.625
45,D,217,0.5x,47.4761904761905,391,16,24.4375
46,A,42,0.5x,18.2,182,16,11.375
46,B,42,0.5x,28.2,282,16,17.625
46,C,42,0.5x,16.6,166,16,10.375
46,D,42,0.5x,14.3,143,16,8.9375
47,A,217,0.5x,141.47619047619,969,27,35.8888888888889
47,B,217,0.5x,90.9047619047619,631,27,23.3703703703704
47,C,217,0.5x,61.0714285714286,408,27,15.1111111111111
47,D,217,0.5x,119.880952380952,811,27,30.037037037037
48,A,42,0.5x,0,0,28,0
48,B,42,0.5x,1.16666666666667,7,28,0.25
48,C,42,0.5x,0,0,28,0
48,D,42,0.5x,0,0,28,0
49,A,42,2x,27.75,222,16,13.875
49,B,42,2x,31.625,253,16,15.8125
49,C,42,2x,50.5,404,16,25.25
49,D,42,2x,16.375,131,16,8.1875
50,A,42,2x,60.4444444444444,422,21,20.0952380952381
50,B,42,2x,41.7777777777778,270,21,12.8571428571429
50,C,42,2x,96,671,21,31.952380952381
50,D,42,2x,50.2777777777778,334,21,15.9047619047619
51,A,42,0.5x,42.0476190476191,331,16,20.6875
51,B,42,0.5x,39.7936507936508,313,16,19.5625
51,C,42,0.5x,25.3015873015873,214,16,13.375
51,D,42,0.5x,39.1269841269841,303,16,18.9375
52,A,217,0.5x,12.3,123,10,12.3
52,B,217,0.5x,2.3,23,10,2.3
52,C,217,0.5x,11.7,117,10,11.7
52,D,217,0.5x,26.5,265,10,26.5
53,A,217,2x,104.241666666667,873,40,21.825
53,B,217,2x,99.85,769,40,19.225
53,C,217,2x,95.875,799,40,19.975
53,D,217,2x,105.491666666667,811,40,20.275
54,A,42,0.5x,55.1904761904762,352,13,27.0769230769231
54,B,42,0.5x,43.8095238095238,272,13,20.9230769230769
54,C,42,0.5x,59.4761904761905,386,13,29.6923076923077
54,D,42,0.5x,40.4761904761905,256,13,19.6923076923077
55,A,42,1x,15.6666666666667,94,22,4.27272727272727
55,B,42,1x,14.1666666666667,85,22,3.86363636363636
55,C,42,1x,8.5,51,22,2.31818181818182
55,D,42,1x,6.33333333333333,38,22,1.72727272727273
56,A,217,0.5x,19.8333333333333,119,6,19.8333333333333
56,B,217,0.5x,45.1666666666667,271,6,45.1666666666667
56,C,217,0.5x,24,144,6,24
56,D,217,0.5x,11.1666666666667,67,6,11.1666666666667
57,A,217,1x,47.8611111111111,399,24,16.625
57,B,217,1x,79.8968253968254,609,24,25.375
57,C,217,1x,49.6428571428571,410,24,17.0833333333333
57,D,217,1x,78.9960317460317,634,24,26.4166666666667
59,A,217,0.5x,15.8571428571429,111,7,15.8571428571429
59,B,217,0.5x,35.4285714285714,248,7,35.4285714285714
59,C,217,0.5x,15,105,7,15
59,D,217,0.5x,22.2857142857143,156,7,22.2857142857143
60,A,42,0.5x,35.3333333333333,292,16,18.25
60,B,42,0.5x,35.9666666666667,265,16,16.5625
60,C,42,0.5x,26.9333333333333,210,16,13.125
60,D,42,0.5x,17.9333333333333,168,16,10.5
61,A,42,0.5x,18.5416666666667,129,27,4.77777777777778
61,B,42,0.5x,15.2083333333333,107,27,3.96296296296296
61,C,42,0.5x,11.7083333333333,74,27,2.74074074074074
61,D,42,0.5x,5,40,21,1.9047619047619
62,A,217,1x,107.957142857143,924,41,22.5365853658537
62,B,217,1x,98.9428571428572,779,41,19
62,C,217,1x,64.4142857142857,489,41,11.9268292682927
