"Treatment","PaternalStock","recomb_rate","ycv_rr","cvv_rr","vf_rr","treat"
"0.5x","42",0.501539769213601,0.0801885295952314,0.195905328751146,0.225445910867223,0.5
"1x","42",0.47503113293016,0.079926448374987,0.164176077912765,0.230928606642408,1
"2x","42",0.413139089930449,0.057113751348556,0.164993009951331,0.191032328630562,2
"0.5x","217",0.458542574485019,0.0551237371348099,0.163284225383856,0.240134611966354,0.5
"1x","217",0.438388430578884,0.0559329599495457,0.150771213385713,0.231684257243625,1
"2x","217",0.433240211127254,0.0518365729768209,0.148656220205041,0.232747417945392,2
