vial_num,observer,vial,num_offspring,X0000,X1111,X1000,X0100,X0010,X0001,X1100,X1110,X1010,X1001,X0011,X0111,X0110,X0101,X1011,X1101,observer_num,vial_letter,MaternalVial,Treatment,PaternalStock,min_age,max_age,num_moms,age_diff,avg_age,adj_age,num_males
10,2,10B,63,12,11,1,0,0,3,0,2,0,0,4,0,0,0,0,0,2,B,53,2x,217,2,2,10,0,2,4,33
10,13,10D,68,10,8,0,0,0,2,4,3,0,0,0,0,0,0,0,0,13,D,53,2x,217,2,2,10,0,2,8,27
10,1,10D,23,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,D,53,2x,217,2,2,10,0,2,8,12
10,13,10B,15,1,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,13,B,53,2x,217,2,2,10,0,2,4,7
10,17,10C,33,6,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,17,C,53,2x,217,2,2,10,0,2,6,13
10,13,10C,21,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,C,53,2x,217,2,2,10,0,2,6,5
10,17,10B,25,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,17,B,53,2x,217,2,2,10,0,2,4,10
100,13,100,14,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,A,47,0.5x,217,6,6,7,0,6,6,6
100,17,100D,71,10,6,0,0,0,4,2,5,0,0,0,2,0,0,0,0,17,D,47,0.5x,217,6,6,7,0,6,12,29
100,17,100C,24,1,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,17,C,47,0.5x,217,6,6,7,0,6,10,8
100,17,100D,47,9,5,0,0,1,5,1,2,0,0,0,0,0,0,0,0,17,D,47,0.5x,217,6,6,7,0,6,12,23
100,17,100C,51,12,3,1,0,2,5,1,3,0,0,0,2,0,0,0,0,17,C,47,0.5x,217,6,6,7,0,6,10,29
100,6,100B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,B,47,0.5x,217,6,6,7,0,6,8,0
100,17,100C,45,8,6,1,0,0,5,0,4,0,0,1,0,0,0,0,0,17,C,47,0.5x,217,6,6,7,0,6,10,25
100,17,100B,47,2,5,0,0,0,1,4,1,0,0,3,0,0,0,0,1,17,B,47,0.5x,217,6,6,7,0,6,8,17
100,2,100B,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B,47,0.5x,217,6,6,7,0,6,8,0
100,1,100,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A,47,0.5x,217,6,6,7,0,6,6,3
100,17,100,186,19,36,0,0,0,15,2,3,0,0,2,1,0,0,0,2,17,A,47,0.5x,217,6,6,7,0,6,6,80
100,17,100C,18,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,17,C,47,0.5x,217,6,6,7,0,6,10,9
100,13,100D,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,D,47,0.5x,217,6,6,7,0,6,12,2
100,17,100,98,21,8,0,0,3,4,2,9,0,1,2,0,0,0,0,1,17,A,47,0.5x,217,6,6,7,0,6,6,51
100,17,100B,30,5,2,0,0,0,3,2,2,0,0,1,0,0,0,0,1,17,B,47,0.5x,217,6,6,7,0,6,8,16
100,13,100D,43,5,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,D,47,0.5x,217,6,6,7,0,6,12,13
100,17,100,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,A,47,0.5x,217,6,6,7,0,6,6,3
100,6,100D,18,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,D,47,0.5x,217,6,6,7,0,6,12,5
100,17,100B,98,9,9,3,0,0,10,4,8,0,0,2,0,0,0,0,0,17,B,47,0.5x,217,6,6,7,0,6,8,45
100,6,100D,23,4,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,6,D,47,0.5x,217,6,6,7,0,6,12,9
101,17,101,49,5,2,0,0,0,3,2,1,0,0,2,0,0,0,0,0,17,A,75,1x,42,4,5,7,1,4.5,4.5,15
101,2,101B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B,75,1x,42,4,5,7,1,4.5,6.5,0
101,13,101D,24,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,13,D,75,1x,42,4,5,7,1,4.5,10.5,5
101,6,101B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,B,75,1x,42,4,5,7,1,4.5,6.5,0
101,13,101,55,2,12,2,0,0,2,1,3,0,1,2,2,0,0,0,0,13,A,75,1x,42,4,5,7,1,4.5,4.5,27
101,17,101D,42,2,8,0,0,0,4,3,2,0,0,1,2,0,0,0,0,17,D,75,1x,42,4,5,7,1,4.5,10.5,22
101,2,101C,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,C,75,1x,42,4,5,7,1,4.5,8.5,0
101,17,101,39,4,3,0,0,0,0,3,3,0,0,3,1,0,0,0,0,17,A,75,1x,42,4,5,7,1,4.5,4.5,17
101,17,101C,12,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,17,C,75,1x,42,4,5,7,1,4.5,8.5,6
101,17,101,12,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,17,A,75,1x,42,4,5,7,1,4.5,4.5,6
101,17,101C,42,4,5,1,0,0,4,3,1,0,0,1,3,0,0,0,0,17,C,75,1x,42,4,5,7,1,4.5,8.5,22
101,6,101C,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,C,75,1x,42,4,5,7,1,4.5,8.5,0
101,17,101B,10,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,B,75,1x,42,4,5,7,1,4.5,6.5,5
101,17,101B,17,3,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,17,B,75,1x,42,4,5,7,1,4.5,6.5,8
101,13,101D,77,9,10,0,0,0,2,3,1,0,1,1,2,0,0,0,2,13,D,75,1x,42,4,5,7,1,4.5,10.5,31
101,17,101C,30,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,17,C,75,1x,42,4,5,7,1,4.5,8.5,7
101,17,101B,18,1,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,17,B,75,1x,42,4,5,7,1,4.5,6.5,7
102,2,102B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B,74,2x,42,4,4,10,0,4,6,0
102,17,102B,15,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,17,B,74,2x,42,4,4,10,0,4,6,6
102,2,102C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,C,74,2x,42,4,4,10,0,4,8,0
102,17,102B,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,B,74,2x,42,4,4,10,0,4,6,16
102,6,102C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,C,74,2x,42,4,4,10,0,4,8,0
102,13,102,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,A,74,2x,42,4,4,10,0,4,4,5
102,17,102C,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,74,2x,42,4,4,10,0,4,8,4
102,17,102C,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,74,2x,42,4,4,10,0,4,8,2
102,17,102,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,74,2x,42,4,4,10,0,4,4,2
102,17,102,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,74,2x,42,4,4,10,0,4,4,2
102,13,102D,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,D,74,2x,42,4,4,10,0,4,10,2
102,17,102,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,74,2x,42,4,4,10,0,4,4,12
102,17,102D,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,D,74,2x,42,4,4,10,0,4,10,8
102,17,102D,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,D,74,2x,42,4,4,10,0,4,10,3
102,17,102C,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,74,2x,42,4,4,10,0,4,8,12
102,17,102,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,74,2x,42,4,4,10,0,4,4,6
103,17,103A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,61,0.5x,42,6,6,7,0,6,6,0
103,17,103C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,61,0.5x,42,6,6,7,0,6,10,0
103,17,103D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,D,61,0.5x,42,6,6,7,0,6,12,0
103,17,103B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,B,61,0.5x,42,6,6,7,0,6,8,0
104,3,104C,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,C,66,2x,217,4,4,10,0,4,8,0
104,13,104C,16,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13,C,66,2x,217,4,4,10,0,4,8,6
104,13,104C,37,9,5,1,0,0,2,1,0,0,0,1,0,1,0,0,1,13,C,66,2x,217,4,4,10,0,4,8,21
104,6,104D,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,D,66,2x,217,4,4,10,0,4,10,4
104,17,104C,45,9,5,1,0,0,2,0,1,0,0,1,0,0,0,0,0,17,C,66,2x,217,4,4,10,0,4,8,19
104,13,104B,46,4,6,1,0,0,1,3,2,0,1,2,0,0,0,0,0,13,B,66,2x,217,4,4,10,0,4,6,20
104,17,104,99,21,15,1,0,0,3,2,7,0,0,0,0,0,0,0,0,17,A,66,2x,217,4,4,10,0,4,4,49
104,6,104D,26,5,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6,D,66,2x,217,4,4,10,0,4,10,15
104,17,104D,73,10,12,0,0,0,5,0,2,0,0,0,0,0,0,0,1,17,D,66,2x,217,4,4,10,0,4,10,30
104,17,104B,34,6,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17,B,66,2x,217,4,4,10,0,4,6,16
104,13,104D,37,4,6,0,0,1,1,2,0,0,0,4,2,0,0,0,0,13,D,66,2x,217,4,4,10,0,4,10,20
104,13,104D,16,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,13,D,66,2x,217,4,4,10,0,4,10,7
104,17,104B,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,B,66,2x,217,4,4,10,0,4,6,1
104,17,104D,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,D,66,2x,217,4,4,10,0,4,10,3
104,17,104,11,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,17,A,66,2x,217,4,4,10,0,4,4,7
104,2,104,65,10,16,0,0,1,1,1,4,0,0,1,0,0,0,0,0,2,A,66,2x,217,4,4,10,0,4,4,34
104,13,104,36,5,3,0,0,0,3,1,3,0,1,0,0,0,0,0,0,13,A,66,2x,217,4,4,10,0,4,4,16
104,13,104,70,6,7,1,0,0,4,3,1,0,0,2,1,0,0,0,1,13,A,66,2x,217,4,4,10,0,4,4,26
105,13,105,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,A,53,2x,217,7,7,6,0,7,7,2
105,17,105D,23,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,17,D,53,2x,217,7,7,6,0,7,13,8
105,13,105,22,2,4,0,0,0,1,2,1,0,1,0,0,0,0,0,1,13,A,53,2x,217,7,7,6,0,7,7,12
105,13,105B,72,0,5,1,0,0,0,3,9,0,3,0,0,0,0,0,0,13,B,53,2x,217,7,7,6,0,7,9,21
105,6,105D,14,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,D,53,2x,217,7,7,6,0,7,13,3
105,17,105C,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,53,2x,217,7,7,6,0,7,11,0
105,17,105,29,5,1,0,0,0,1,1,3,0,0,1,0,0,0,0,0,17,A,53,2x,217,7,7,6,0,7,7,12
105,13,105B,91,14,13,1,0,1,4,4,3,0,0,1,3,1,0,0,0,13,B,53,2x,217,7,7,6,0,7,9,45
105,13,105C,8,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,C,53,2x,217,7,7,6,0,7,11,4
105,13,105D,18,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,13,D,53,2x,217,7,7,6,0,7,13,6
105,13,105B,26,1,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,13,B,53,2x,217,7,7,6,0,7,9,8
105,17,105,22,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17,A,53,2x,217,7,7,6,0,7,7,7
105,17,105C,26,4,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,17,C,53,2x,217,7,7,6,0,7,11,15
105,15,105B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,B,53,2x,217,7,7,6,0,7,9,0
105,2,105C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,C,53,2x,217,7,7,6,0,7,11,0
105,6,105D,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,D,53,2x,217,7,7,6,0,7,13,3
105,13,105D,52,5,6,2,0,0,7,0,4,0,0,2,2,0,0,0,0,13,D,53,2x,217,7,7,6,0,7,13,28
105,17,105D,40,8,6,0,0,0,5,3,1,0,0,0,0,0,0,0,0,17,D,53,2x,217,7,7,6,0,7,13,23
105,13,105D,77,14,9,0,0,0,7,2,6,0,0,3,1,0,0,0,1,13,D,53,2x,217,7,7,6,0,7,13,43
106,17,106C,35,1,4,0,0,0,0,2,0,0,1,1,0,0,0,0,0,17,C,57,1x,217,6,6,7,0,6,10,9
106,17,106,18,3,4,0,0,0,3,1,1,0,0,0,1,0,0,0,0,17,A,57,1x,217,6,6,7,0,6,6,13
106,13,106C,34,2,3,1,0,0,1,0,1,0,0,2,1,0,0,0,2,13,C,57,1x,217,6,6,7,0,6,10,13
106,13,106B,36,13,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,13,B,57,1x,217,6,6,7,0,6,8,22
106,17,106B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,B,57,1x,217,6,6,7,0,6,8,0
106,17,106C,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,57,1x,217,6,6,7,0,6,10,0
106,17,106B,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,B,57,1x,217,6,6,7,0,6,8,0
106,13,106D,49,6,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,13,D,57,1x,217,6,6,7,0,6,12,14
106,17,106,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A,57,1x,217,6,6,7,0,6,6,2
106,17,106D,94,13,6,0,0,2,10,4,0,0,0,2,4,0,0,0,1,17,D,57,1x,217,6,6,7,0,6,12,42
106,17,106B,110,13,10,0,0,0,4,6,9,0,1,2,1,2,0,0,0,17,B,57,1x,217,6,6,7,0,6,8,48
106,13,106B,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,B,57,1x,217,6,6,7,0,6,8,0
106,13,106,12,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,13,A,57,1x,217,6,6,7,0,6,6,8
106,13,106D,10,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,13,D,57,1x,217,6,6,7,0,6,12,6
106,13,106B,79,10,8,0,0,0,4,4,7,0,1,0,3,0,0,0,0,13,B,57,1x,217,6,6,7,0,6,8,37
106,2,106C,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,C,57,1x,217,6,6,7,0,6,10,0
106,17,106,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,A,57,1x,217,6,6,7,0,6,6,2
107,13,107D,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,D,69,1x,217,5,5,9,0,5,11,1
107,17,107D,52,5,7,0,0,0,2,2,3,0,1,5,0,0,0,0,0,17,D,69,1x,217,5,5,9,0,5,11,25
107,13,107C,55,14,9,1,0,0,1,2,1,0,0,3,1,0,0,0,0,13,C,69,1x,217,5,5,9,0,5,9,32
107,17,107,13,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,A,69,1x,217,5,5,9,0,5,5,6
107,2,107C,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,C,69,1x,217,5,5,9,0,5,9,0
107,13,107D,34,3,4,1,0,0,4,1,2,0,0,1,0,0,0,0,0,13,D,69,1x,217,5,5,9,0,5,11,16
107,6,107D,15,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,D,69,1x,217,5,5,9,0,5,11,5
107,17,107C,114,12,17,0,0,0,8,5,3,0,0,5,0,0,0,0,0,17,C,69,1x,217,5,5,9,0,5,9,50
107,17,107C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,C,69,1x,217,5,5,9,0,5,9,0
107,13,107B,74,8,8,0,0,1,4,5,3,0,0,5,0,1,0,0,0,13,B,69,1x,217,5,5,9,0,5,7,35
107,17,107D,40,7,5,0,0,0,1,2,3,0,0,0,1,0,0,0,0,17,D,69,1x,217,5,5,9,0,5,11,19
107,17,107,13,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,17,A,69,1x,217,5,5,9,0,5,5,6
107,17,107,16,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,17,A,69,1x,217,5,5,9,0,5,5,7
107,17,107B,16,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17,B,69,1x,217,5,5,9,0,5,7,7
107,6,107D,29,5,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6,D,69,1x,217,5,5,9,0,5,11,10
107,13,107,54,6,3,1,0,0,1,1,2,0,0,1,2,0,0,0,0,13,A,69,1x,217,5,5,9,0,5,5,17
107,17,107C,11,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,C,69,1x,217,5,5,9,0,5,9,5
107,17,107C,38,7,4,0,0,0,6,2,1,0,1,0,0,0,0,0,0,17,C,69,1x,217,5,5,9,0,5,9,21
107,17,107,71,8,8,1,0,0,3,0,2,0,1,1,0,2,0,0,0,17,A,69,1x,217,5,5,9,0,5,5,26
107,13,107B,124,20,14,4,0,1,6,3,6,0,0,6,1,0,0,0,0,13,B,69,1x,217,5,5,9,0,5,7,61
108,13,108D,34,4,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,13,D,72,1x,42,5,6,11,1,5.5,11.5,12
108,17,108,15,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,17,A,72,1x,42,5,6,11,1,5.5,5.5,6
108,17,108D,39,4,6,0,0,0,1,0,1,0,0,3,0,0,0,0,0,17,D,72,1x,42,5,6,11,1,5.5,11.5,15
108,13,108,19,3,2,1,0,0,3,1,1,0,0,2,1,0,0,0,0,13,A,72,1x,42,5,6,11,1,5.5,5.5,14
108,13,108B,36,9,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,B,72,1x,42,5,6,11,1,5.5,7.5,15
108,17,108,70,12,11,0,0,0,5,2,1,0,0,2,0,0,0,0,1,17,A,72,1x,42,5,6,11,1,5.5,5.5,34
108,13,108C,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,C,72,1x,42,5,6,11,1,5.5,9.5,2
108,17,108B,48,5,7,0,0,0,5,2,0,0,0,1,0,0,0,0,0,17,B,72,1x,42,5,6,11,1,5.5,7.5,20
