"","Chisq","Df","Pr(>Chisq)"
"Treatment",4.89704577972541,2,0.0864211458171601
"PaternalStock",15.2618618865105,1,9.35871499058595e-05
"vial_letter",62.9309510278245,3,1.38941988800027e-13
"Treatment:PaternalStock",2.95645331337091,2,0.228041726299732
"Treatment:vial_letter",13.0541793074645,6,0.0421835979198492
"PaternalStock:vial_letter",5.64509745963797,3,0.13021320397415
"Treatment:PaternalStock:vial_letter",10.9539995466629,6,0.0898085788916241
